,0,1,2,3,4,5,6,7,8,9,sum_of_abs_weights
Granularity_3_CorrMito,0.2239081845363938,-0.03948069008551212,-0.2602594466837172,0.11103370500689745,0.42821341085291176,-0.13923409192295638,0.43928410545065777,-0.19742035749837572,0.0040901589248661515,0.2177616419776206,2.0606857929399087
Granularity_2_CorrMito,0.1349825726159007,-0.44003522068407336,0.06894133835034744,0.2554310849330652,-0.18121105735569207,0.15395067675386595,-0.3247004115929656,-0.37634603406206985,-0.08490676432748634,-0.004410072402408533,2.0249152330778752
Granularity_4_CorrActin,0.23213767310692482,-0.0035867913422149467,-0.2695352498451869,-0.06134564288705285,-0.18483645851467045,-0.21051036001277318,-0.2561256117109246,0.05058285424181599,-0.3313496147457506,0.24912857119109438,1.8491388275984086
Granularity_2_CorrDNA2,0.04547516714798669,0.18980812574991016,0.02599615821313404,0.43985399378169504,0.38492573471387626,0.0345123048176137,-0.343644757774798,0.10961353877293517,-0.10244063250653287,-0.08894755890116895,1.765217972379651
Granularity_4_CorrMito,0.14799361241174624,0.16110489451532803,-0.20570187529480236,-0.09664373024583289,0.04101194515700334,-0.1669272828206331,-0.16110622211764553,0.04400973993626521,0.6257811865556392,0.03159225406151233,1.6818727431164084
Granularity_1_CorrDNA2,-0.06527052345319831,-0.24290650777567777,-0.03650463031850451,-0.4097411728686845,-0.27882143005473803,-0.058905802235359704,0.27860602990922284,-0.1268611947623222,0.09042753704597187,0.050936490396285665,1.6389813188199653
Granularity_4_CorrNileRed,0.21292834801108487,0.04708481705646406,-0.2530326570187083,-0.07403622394444136,-0.14660924317329826,-0.19268806242940809,-0.24577853265341723,0.03692235171137929,-0.16097436703456539,0.202769794007369,1.5728243970401359
Intensity_MedianIntensity_CorrMito,0.13796832268444012,0.23906730278554755,0.08033563996493484,-0.10237401623336143,0.14285663978295426,0.17272681867538242,0.0238131313960789,-0.24361642654126478,0.08997797010769619,0.27239174507090397,1.5051280132425644
Granularity_2_CorrNileRed,0.15720340325628818,-0.15411662091721595,0.01692460968966457,0.17317038738733817,-0.0689165173018909,0.19628663829100126,0.06310487091452105,0.2449142273462181,0.2785914918942289,0.10348906700174798,1.456717834000115
Granularity_4_CorrGolgi,0.18820686239488163,0.10277828882079304,-0.264213988620598,-0.08142684344343375,-0.0608373662124023,-0.20261774059823467,-0.19963672700829696,0.03921393826124345,0.27874800953008955,0.011779076784524719,1.4294588416744982
Granularity_2_CorrGolgi,0.1835457273300453,-0.3096493313605182,0.039889651964160056,0.21437025137223487,-0.06196413689895576,0.13376314064420627,-0.058665999714656435,-0.11055803783575294,0.20256074133507898,0.09923216719251905,1.414199185648128
RadialDistribution_MeanFrac_CorrActin_2of3,0.006931725432222081,-0.16249848954324786,-0.039676768708071165,-0.2407440342287511,0.2622349700804022,0.12622661678651662,-0.13161472093997703,0.18084958262942913,-0.021182491052403486,-0.09512769746203138,1.267087096863052
Granularity_3_CorrActin,0.20249658931604717,-0.08782473922490311,-0.14125654390652198,0.0705307204334168,-0.09158393793098263,0.1073485980757613,0.14745547407488913,0.20321238503077468,-0.14664600973160857,-0.06770706464115184,1.2660620623660575
Granularity_3_CorrNileRed,0.2327961589338643,-0.0635832735641555,-0.1778349543795681,0.09366838577833551,-0.03867295336867237,0.0865813546212076,0.19456258249479844,0.17026441643742438,-0.1594608976637317,-0.04029682642453968,1.2577218036662976
Granularity_3_CorrGolgi,0.22199597527401302,-0.04884002364945811,-0.1964413668142049,0.08473662398761393,0.18164857755770547,-0.037159827794396895,0.27515103944693875,-0.06595074477687544,-0.0766264559609652,-0.05207785388105298,1.2406284891432247
Intensity_MedianIntensity_CorrActin,0.19457748492286472,0.1883115013813761,0.10022803324283303,-0.14257542802199535,-0.08049711545060212,0.24849041636216854,-0.0055955688584984585,-0.010190684954414596,-0.1250982232214128,0.1252579141244732,1.220822370540639
Granularity_3_CorrWGA,0.21931390782964155,-0.0737445365792799,-0.12029455515413731,0.034377368546626146,-0.002435512306219451,0.014556860322937532,0.18529852515386716,-0.0055378965039527776,-0.16763081874195038,-0.3804260472768414,1.2036160284154538
Granularity_4_CorrWGA,0.15242014500687268,0.03450639428719196,-0.1826651861032377,-0.095355385463625,-0.09511763056794142,-0.13975949420196065,-0.1377999317696786,-0.03259181138437223,-0.09494212125225282,-0.23566122957589816,1.2008193296130312
RadialDistribution_MeanFrac_CorrMito_2of3,-0.00980431443605136,-0.16707078903418693,-0.07787797546664679,-0.2609179853952816,0.28724657390672775,0.13840229888722397,-0.12039577269949021,0.05938987651033238,-0.02956907584952093,0.03284218657148343,1.1835168487569452
Intensity_MedianIntensity_CorrGolgi,0.1415104545875278,0.23509556432093248,0.10894045939420824,-0.12038668798778973,-0.02253552604557496,0.22090057994582382,0.02838823957839915,-0.041971338031899716,-0.04587580892552931,0.15942498479859002,1.1250296436162752
RadialDistribution_MeanFrac_CorrNileRed_2of3,0.0007277349070083248,-0.13555537250632582,-0.045727346791292894,-0.21912709813962175,0.2483132026593165,0.12045662087375267,-0.11300750463174486,0.13483572269803384,-0.0060403707369183395,-0.06493026226080614,1.088721236204821
Granularity_2_CorrActin,0.12637960517899902,-0.11907480749394037,0.00238837390793636,0.10526550095218888,-0.08947421676844294,0.14393868091625495,0.05890863905141842,0.23218632172226192,0.17711322766369259,0.03205480911788215,1.0867841827730176
Granularity_1_CorrGolgi,-0.10453433367477001,-0.11557173922996804,0.07815005425656057,0.0379505894932559,0.04909466921206215,-0.19934404322497892,0.03691952410846945,0.15624961801060694,-0.07375533681725907,0.23208249620885474,1.0836524042367859
