,0,1,2,3,4,5,6,7,8,9,sum_of_abs_weights
Granularity_3_CorrMito,0.02731049673128091,0.22297790016936234,0.09415197690162858,0.26304390550780854,0.0030319244721790056,-0.266035030495624,0.08049454666484002,-0.3598593063512121,0.02746078376214211,0.43862620398196334,1.7829920750380408
Granularity_2_CorrMito,-0.0009744985894245096,0.16923481554520545,0.4621667547469773,-0.12861792636259442,-0.046275513040352205,0.13543505959348603,-0.07310101003190542,-0.033337167270633815,-0.13326199090557675,-0.23816211616296587,1.420566852249122
Intensity_MedianIntensity_CorrMito,0.2581593297676197,-0.052714710936224304,0.024525140643165643,-0.050981149632613826,-0.0894663184378317,-0.23176532848001677,0.15386755757580886,-0.1247711653527886,-0.2272539635391117,-0.13059783962986665,1.3441025039950478
RadialDistribution_ZernikeMagnitude_CorrActin_2_2,0.14433710233917724,-0.012638870706785344,-0.10491789711653422,-0.007208292427337756,-0.10128162691960796,0.14531529031373558,-0.18684676420600782,0.1172454832115659,-0.187890671311903,0.30202041167858334,1.3097024102312382
Granularity_4_CorrActin,0.049618997662919564,0.2084013529976282,0.04011055997833249,0.30866545803077367,0.05297718127937197,-0.01015457773663891,0.04491103974355049,0.32131902828884934,-0.08886687285329622,-0.1831853461054279,1.3082104146767886
RadialDistribution_ZernikeMagnitude_CorrWGA_0_0,0.2189967868240933,0.0823864536989856,0.06445531683058293,-0.14201810646938978,-0.05973758184619747,-0.19636961485953158,-0.11285122023428515,0.19411932087749537,0.18733299422770633,0.0038672120777133376,1.2621346079459808
RadialDistribution_ZernikeMagnitude_CorrMito_0_0,0.25308436775731885,-0.015889218152471334,0.027655157315669587,-0.06452012132352461,-0.08452539213487774,-0.23913195686908312,0.1443967952909939,-0.13256460836711567,-0.1795793881306464,-0.10669153612404196,1.2480385414657431
Granularity_4_CorrNileRed,0.058451363227792014,0.1853382289285655,-0.009179753061108851,0.31332323670837015,0.04723895830098992,-0.04545150684119943,0.03963054707609386,0.27114948030285735,-0.0718862589429398,-0.1843621404778226,1.2260114738677395
RadialDistribution_MeanFrac_CorrMito_2of3,-0.123839014318081,0.27630171912537166,-0.15013352817648548,-0.19219845274835648,0.0717055378892173,-0.05749290604377019,0.07354567741131106,-0.018680389668251498,-0.1949795690545672,0.03177709664620868,1.1906538910816207
RadialDistribution_ZernikeMagnitude_CorrMito_2_0,0.10269222791735631,0.10447407240455028,-0.09005778898623201,-0.08336470097960702,-0.28990428816777314,-0.10201370837061387,0.18977542902823744,-0.11828621702268233,0.052865535501646625,-0.027481095747803032,1.160915064126502
RadialDistribution_ZernikeMagnitude_CorrWGA_2_2,0.13714046167650737,-0.0005582274703691266,-0.006246457397998716,-0.07559414132887506,-0.088044661782659,-0.06069565951624951,-0.2119667642118588,0.19225319495404256,-0.07570097809324336,0.2896284245409621,1.1378289709727658
Granularity_2_CorrGolgi,0.04280540878480182,0.1643239399498851,0.39247243897226614,-0.0921180971816453,-0.037972268443036854,0.13715843217585955,-0.028877886723652425,-0.07667081302827299,-0.07197410651812301,-0.08807302572276822,1.1324464175003115
RadialDistribution_ZernikeMagnitude_CorrActin_2_0,0.05482573563697691,0.12651354722868224,-0.1696685595409584,-0.02590341788928306,-0.22986918791738895,0.19047120498260017,0.08545815396015218,0.007908187550501685,0.1689612596997729,0.040799925651085776,1.1003791800574023
RadialDistribution_ZernikeMagnitude_CorrMito_2_2,0.17551010829556515,-0.04908957290846147,-0.018602664759837424,-0.03508715989418523,-0.08360338806441955,-0.09572592803298947,-0.10095748835805292,0.02181818337084219,-0.2809164714025105,0.23813799653615206,1.099448961623016
Intensity_MedianIntensity_CorrWGA,0.2055279180183591,0.05757365693008349,0.05316642000015105,-0.12601840471763248,-0.06427587666589091,-0.18326829977137862,-0.08654143340096868,0.17083527567272125,0.14031376176188498,-0.008288113115615092,1.0958091600546858
Granularity_4_CorrGolgi,0.05307242323777359,0.15191504941424813,-0.06163823069309038,0.30095305143943973,0.042901047772762414,-0.142772537390932,0.019347515797992126,0.16516355571325703,-0.026443025343634113,-0.12227638257756122,1.0864828193806908
RadialDistribution_MeanFrac_CorrNileRed_2of3,-0.12029373264893012,0.28160979265361125,-0.16444727764052208,-0.20245542471195713,0.06143324289323544,-0.016604896219364847,-0.022123025913308402,-0.01840748261659955,-0.15268077509226546,-0.04591022339593067,1.085965873785725
RadialDistribution_MeanFrac_CorrGolgi_2of3,-0.11207108068472804,0.2697087081227858,-0.1419471902270612,-0.19764529496634936,0.06042804848654628,-0.04296700862818367,0.030361617310792118,-0.017940411614364028,-0.1500725541490682,-0.011051510915615554,1.0341934251054943
RadialDistribution_MeanFrac_CorrActin_2of3,-0.12148419845127205,0.27943930800592903,-0.15502016817864966,-0.1860829789156496,0.0652587130352571,0.0004734651362867806,-0.036255096597344716,-0.004376739338524922,-0.1320369355837052,-0.05375568695824429,1.0341832902008634
RadialDistribution_ZernikeMagnitude_CorrWGA_2_0,0.04702331463238425,0.13487091526140274,-0.06470718470384167,-0.09394676397977651,-0.21501013010762385,-0.0016402528000035,0.03444486184017007,0.09276840238142661,0.2810833330706995,0.06764446485677707,1.0331396236341057
Granularity_4_CorrMito,0.04988693282167419,0.1048780765362331,-0.1408075350932542,0.2613576006694719,0.03157572363578285,-0.20642048049050657,0.059612127290807726,0.07354805921193175,0.006299917557897352,-0.08535731464449298,1.0197437679520525
