,0,1,2,3,4,5,6,7,8,9,sum_of_abs_weights
RadialDistribution_MeanFrac_CorrDNA2_3of3,-0.19570136774699293,-0.09332722405016869,0.006003491266584059,0.16718074172185596,-0.0880640256215762,0.3184910739953491,-0.18566516150359139,0.43901629686194044,0.07570435969266254,0.35458067459779663,1.9237344170585178
Granularity_2_CorrMito,0.3450238611008882,-0.030642945697885848,-0.005599465952712293,-0.17501996405527084,0.2077359358704293,0.08512768846619861,-0.4091800312535642,-0.0814514013233964,-0.4034431456942913,0.058766950483800776,1.8019913898984379
Granularity_3_CorrMito,0.14210981334608355,0.015159921690449458,0.0027598259960598106,0.27213942277075204,-0.03536160305733841,-0.142386722561767,-0.2559501257804012,-0.07196691691327681,0.6133151492877953,-0.1188252334012025,1.6699747348051261
Granularity_2_CorrDNA2,-0.10798012735956486,0.17738260860700678,0.008910052658819731,0.2130692184531192,0.619751130199156,-0.2838149979197534,0.04752463159233287,-0.006214990321557827,-0.015609991396773602,0.10543253175419444,1.5856902802622788
Granularity_1_CorrDNA2,0.15263560084838873,-0.0942307763357627,-0.010538992754389128,-0.30681319410653596,-0.5037606148918532,0.12438949029649328,-0.07361664802392935,-0.12809549727748673,0.03650467763187257,-0.11672554448824024,1.5473110366549518
Granularity_4_CorrNileRed,0.10763376726776269,0.05968176062382584,0.003471460551540651,0.23641963445832273,-0.2110402885547777,-0.15464212593289392,-0.025059185332571825,-0.14814875102735944,-0.20054759040551728,0.29734174661836976,1.4439863107729418
Granularity_4_CorrActin,0.13795034634933906,0.038299331605868445,0.0012864116368015528,0.2060460502020082,-0.1971286421342874,-0.14126444323270115,-0.04842461954872397,-0.13032279281479997,-0.197834279836212,0.27102496578274615,1.3695818831434878
Texture_Contrast_CorrDNA2_3_03_256,0.14228924993241404,0.13880297752293114,0.0021797929798281625,-0.2380377902271099,-0.07181014312458683,-0.3263272974611052,0.16504953287539126,0.14672876212821123,0.050745950492221324,0.08195707686722262,1.3639285736110218
RadialDistribution_MeanFrac_CorrMito_3of3,-0.27525534550358527,0.2714849679138852,0.005923763560864181,-0.09432102252098842,-0.10939815587243992,-0.035366587956891314,-0.2032794800745353,0.25545886095592674,0.004916610722965685,0.08814005122892621,1.343544846311008
Granularity_2_CorrGolgi,0.3038686817957449,0.0409754667337236,-0.002421622035632036,-0.10445503387402721,0.16078444566483177,0.08190786329630574,-0.3017967230685442,0.08274050447302705,-0.12981644295594344,0.09775521973193026,1.30652200362971
Intensity_MedianIntensity_CorrActin,0.04997508346280915,0.25659417332732953,0.004612743751325537,0.11199846466987569,-0.07574919140887201,0.15274095370787866,0.1978376515721332,0.11123148919606912,-0.11365766797276396,-0.15951656362782027,1.233913982696877
Texture_Contrast_CorrDNA2_3_01_256,0.12615725156161833,0.12372664021358393,-0.008106879239677543,-0.21221879665739082,-0.06261011478362949,-0.28819008721477846,0.14646962516691098,0.12246918831192771,0.04481836032265508,0.07436310634349587,1.2091300498156683
Granularity_3_CorrGolgi,0.15487301029005213,0.05192494317205348,0.0031943261275833275,0.19620303223901087,-0.03919495005695013,-0.10157012941795464,-0.2021841881395818,0.0034689359404968256,0.26315938644159054,-0.14449188134109758,1.1602647831663713
Granularity_3_CorrNileRed,0.18606583332026067,0.0633198653198006,0.0040289022555706246,0.16346523488762552,-0.07064851009206874,-0.1118517658420294,-0.16450541908676425,0.17819428906732793,0.046481782810432394,-0.1679811312831016,1.1565427339649816
Granularity_4_CorrGolgi,0.05307887592819347,0.05860614004043438,0.005064364469556909,0.23154931058682407,-0.1778493880816599,-0.1482761882445812,0.00281317396714058,-0.11971258387283847,-0.09606159921173162,0.22138462783898394,1.1143962522419444
RadialDistribution_MeanFrac_CorrGolgi_3of3,-0.26142395836960475,0.19286468918128433,0.004323320421190525,-0.07725789931981467,-0.10763114454361809,-0.022673085302455192,-0.21144459512398128,0.1334279131872377,-0.014861331012226383,0.04586295882558632,1.071770895286999
AreaShape_Orientation,0.007813091590930913,-0.013597035540653134,0.9994708564483878,-0.01976073034354755,-0.002593985673163608,-0.0007427797240128274,0.0017639161334399036,-0.006356132971553291,0.0015064232039354764,-0.0009668996035864732,1.0545718512332112
Granularity_4_CorrMito,-0.007945958229708018,0.06096970468071484,0.004951117490756711,0.25394651567324666,-0.16556476751611482,-0.10174253464073053,0.06294852644069027,-0.07356675595346598,-0.030982763682031386,0.28690470904590715,1.0495233533533663
Texture_Contrast_CorrDNA2_3_02_256,0.10028142606893765,0.09974012757521819,-0.002362740584126605,-0.17664385676110997,-0.058641620171696815,-0.23510533034852438,0.1181279828278311,0.12108878007911958,0.0441426729831034,0.07718950905619931,1.033324046455867
Granularity_3_CorrActin,0.18975085818321835,0.04337284364405147,0.0018166723862832563,0.11599627718617454,-0.07166144966406014,-0.0834983380057235,-0.1266099016415669,0.20758113642180454,-0.005889896405684797,-0.13415886649951309,0.9803362400380806
Texture_Contrast_CorrDNA2_3_00_256,0.09426802085775139,0.09763260408286753,-0.002494043285804436,-0.1662075997792645,-0.05585641230430101,-0.22027420281705223,0.11317802780718655,0.1152751889843218,0.04126982851122959,0.07301615946962921,0.9794720878994083
Granularity_1_CorrNileRed,0.013177800058011137,-0.11251790046968421,-0.009072643329110217,-0.17713187232234195,0.06414989318443544,-0.039341345942101494,-0.05512042331298769,-0.06063196003315082,0.21379405546866825,0.19559518902125733,0.9405330831417487
