,0,1,2,3,4,5,6,7,8,9,sum_of_abs_weights
Granularity_2_CorrMito,0.27962745660403904,-0.009940174010111458,0.1345351672754804,-0.12405137799147052,-0.15528186226588614,0.32466215637263107,-0.2497035905649663,-0.3055390196380213,-0.3203862059598228,0.22434638491992984,2.1280733956023585
Granularity_2_CorrDNA2,-0.19567912113855013,0.21418950100020878,0.5519699783060064,-0.3674370801588594,0.16120732747335173,-0.14508306773387425,-0.1030535932914337,-0.04035478221693185,-0.017996667186103803,0.009656399114534631,1.8066275176198545
Granularity_3_CorrMito,0.04732025359181262,0.1818096432605822,-0.06714178713558872,-0.2837234386099453,-0.2388845682249196,-0.07630191209671099,0.40736538380160914,-0.06665467587739568,0.38820853822107176,-0.041856283813311405,1.7992664846329476
Granularity_4_CorrGolgi,-0.024448646342444272,0.17345843795339916,-0.1878994519606247,-0.1504969754817898,-0.0828910739802169,-0.18253237930614033,-0.10774477060829171,0.24221212768242525,-0.14834976636169783,0.24081464169103262,1.5408482713680627
Granularity_1_CorrDNA2,0.21015988559409213,-0.21146103499961094,-0.44767468836728425,0.2530520459722082,-0.1112512070312223,0.029722711860640853,0.08933598386345713,-0.06893089348958101,0.04566579138590805,0.05473013358809481,1.5219843761520997
Granularity_2_CorrGolgi,0.22456006439293427,0.08145959795995394,0.07911785224153182,-0.11929304859078647,-0.0913357021490803,0.32484707174818145,-0.19493724071493573,-0.1375175045762121,0.07891897677275267,0.10396746980417564,1.4359545289505447
Granularity_4_CorrMito,-0.0665467737976121,0.165074689058519,-0.14579648611089624,-0.10164126673592434,-0.07012885561113875,-0.18563473882329884,-0.07245659716615886,0.28389676590354596,-0.055977908216907436,0.23583188119559453,1.3829859626195962
Granularity_4_CorrNileRed,0.01626017945124276,0.1693799229090412,-0.1951317941309051,-0.14451670669214284,-0.0846636934138605,-0.1494567911264222,-0.1963963904951072,0.1404182770579805,-0.13674525146064823,0.12491322774042013,1.3578822344777706
Granularity_4_CorrActin,0.04920059884933919,0.16350906747817548,-0.20115960725914098,-0.16147774796686168,-0.08656129334140773,-0.12928557759604717,-0.2164002907162316,0.11216911471167702,-0.1279340643992628,0.1097081202325467,1.3574054825506905
RadialDistribution_MeanFrac_CorrMito_2of3,0.18279325124533566,-0.025137146415170612,0.12286936326982588,-0.0155412442069305,-0.17936095552599235,-0.21017178367564127,0.2028683877706443,-0.1586324944947137,-0.20592895872740982,0.017993453533198256,1.3212970388648624
Granularity_3_CorrGolgi,0.06011913668507444,0.18150992443870265,-0.0882080247003677,-0.21906794625795453,-0.15564598170318375,0.01418372237158348,0.19358602560957422,-0.055131800295169564,0.21610786764757742,-0.09416181364970397,1.2777222433588917
RadialDistribution_MeanFrac_CorrNileRed_2of3,0.1587673777928773,0.04470462270787533,0.07511526556520735,-0.015640943944723717,0.12182931894937139,-0.043392568707683245,0.3946238013644654,0.10855086330403353,-0.19733522963194666,0.10047138766358403,1.2604313796317679
RadialDistribution_MeanFrac_CorrWGA_3of3,-0.21867101724559224,-0.03816355795597199,-0.1027390560658247,-0.04114673100473736,0.02317174616535027,0.03737291247989554,0.16920161982152285,-0.21662123900145744,-0.06740423511075767,0.3348123173811257,1.2493044322322358
